embedder,split,nll,perplexity,n_examples,n_tokens
one_hot,train,0.39645128429606447,1.4865400183673947,2636,320058
one_hot,test,1.006255650070746,2.7353397469285112,426,52077
biopython,train,0.4417423571294192,1.5554149472336198,2636,320058
biopython,test,0.9958111003530848,2.706919034085395,426,52077
pyrosetta_pre,train,0.40310030625599186,1.4964569881333818,2636,320058
pyrosetta_pre,test,0.9816063528710833,2.668739738345816,426,52077
esm2,train,0.4304960598649848,1.5380202844797606,2636,320058
esm2,test,0.9677158952163364,2.631925993815062,426,52077
esm3,train,0.4359507995724707,1.5464327077272704,2636,320058
esm3,test,0.9688752130980746,2.6349790020446786,426,52077
esmif,train,0.3880506688708094,1.4741044736050466,2636,320058
esmif,test,0.9870084190742004,2.6831954573124186,426,52077
proteinmpnn,train,0.35191323757557097,1.4217851608394518,2636,320058
proteinmpnn,test,0.9408102767833113,2.5620565524412133,426,52077
