embedder,score_source,score_column,median,q25,q75,n
one_hot,iglm,iglm_log_likelihood,-1.0894697904586792,-1.5425130426883698,-0.8450256437063217,800
biopython,iglm,iglm_log_likelihood,-1.3331539630889893,-1.6691409349441526,-1.0764895975589752,800
pyrosetta_pre,iglm,iglm_log_likelihood,-1.1879733204841614,-1.4697857797145844,-0.9938448667526244,800
esm2,iglm,iglm_log_likelihood,-1.4412397742271423,-1.761895328760147,-1.1719189584255216,800
esm3,iglm,iglm_log_likelihood,-1.4543535113334656,-1.7672861516475677,-1.1829546988010406,800
esmif,iglm,iglm_log_likelihood,-0.9244618117809296,-1.1465271413326263,-0.7970673888921738,800
proteinmpnn,iglm,iglm_log_likelihood,-1.081874668598175,-1.3433291912078857,-0.9030755907297134,800
one_hot,antiberty,antiberty_pseudo_log_likelihood,-0.8705306947231293,-1.322016030550003,-0.634762704372406,800
biopython,antiberty,antiberty_pseudo_log_likelihood,-1.078264057636261,-1.4237456023693085,-0.8157564997673035,800
pyrosetta_pre,antiberty,antiberty_pseudo_log_likelihood,-0.9414361417293549,-1.1836845576763153,-0.7558694034814835,800
esm2,antiberty,antiberty_pseudo_log_likelihood,-1.160941660404205,-1.507641315460205,-0.9213114082813263,800
esm3,antiberty,antiberty_pseudo_log_likelihood,-1.2026448249816895,-1.5341581106185913,-0.9486148506402969,800
esmif,antiberty,antiberty_pseudo_log_likelihood,-0.7259950935840607,-0.9228939265012741,-0.6114251017570496,800
proteinmpnn,antiberty,antiberty_pseudo_log_likelihood,-0.8692861497402191,-1.1286521255970001,-0.7117340564727783,800
one_hot,ablang2,ablang2_confidence,-0.2884393632411957,-0.3668769225478172,-0.24064693599939346,800
biopython,ablang2,ablang2_confidence,-0.290961891412735,-0.38393550366163254,-0.23285761475563047,800
pyrosetta_pre,ablang2,ablang2_confidence,-0.2881893515586853,-0.3502140268683433,-0.2390939891338348,800
esm2,ablang2,ablang2_confidence,-0.3101414889097214,-0.3846759647130966,-0.25716494768857956,800
esm3,ablang2,ablang2_confidence,-0.31074319779872894,-0.3958905041217804,-0.2517095804214477,800
esmif,ablang2,ablang2_confidence,-0.2864511907100677,-0.33458153158426285,-0.24516130238771439,800
proteinmpnn,ablang2,ablang2_confidence,-0.28089663386344904,-0.3580999821424484,-0.23560261726379392,800
