embedder,status,failure_stage,run_id,split,n_examples,n_tokens,nll,perplexity,prediction_rows,successful_predictions,training_curve,training_plot,evaluation,predictions
one_hot,complete,,one_hot__a288de4f,test,426,52077,1.006255650070746,2.7353397469285112,426,426,artifacts/runs/one_hot__a288de4f/training_curve.csv,artifacts/runs/one_hot__a288de4f/training_curve.png,artifacts/runs/one_hot__a288de4f/eval.json,artifacts/runs/one_hot__a288de4f/predictions_test.csv
one_hot,complete,,one_hot__a288de4f,train,2636,320058,0.39645128429606447,1.4865400183673947,426,426,artifacts/runs/one_hot__a288de4f/training_curve.csv,artifacts/runs/one_hot__a288de4f/training_curve.png,artifacts/runs/one_hot__a288de4f/eval.json,artifacts/runs/one_hot__a288de4f/predictions_test.csv
one_hot,complete,,one_hot__a288de4f,val,132,16050,0.9156203817058575,2.498324686165448,426,426,artifacts/runs/one_hot__a288de4f/training_curve.csv,artifacts/runs/one_hot__a288de4f/training_curve.png,artifacts/runs/one_hot__a288de4f/eval.json,artifacts/runs/one_hot__a288de4f/predictions_test.csv
biopython,complete,,biopython__9cced44a,test,426,52077,0.9958111003530848,2.706919034085395,426,426,artifacts/runs/biopython__9cced44a/training_curve.csv,artifacts/runs/biopython__9cced44a/training_curve.png,artifacts/runs/biopython__9cced44a/eval.json,artifacts/runs/biopython__9cced44a/predictions_test.csv
biopython,complete,,biopython__9cced44a,train,2636,320058,0.4417423571294192,1.5554149472336198,426,426,artifacts/runs/biopython__9cced44a/training_curve.csv,artifacts/runs/biopython__9cced44a/training_curve.png,artifacts/runs/biopython__9cced44a/eval.json,artifacts/runs/biopython__9cced44a/predictions_test.csv
biopython,complete,,biopython__9cced44a,val,132,16050,0.9429936925941539,2.567656698725256,426,426,artifacts/runs/biopython__9cced44a/training_curve.csv,artifacts/runs/biopython__9cced44a/training_curve.png,artifacts/runs/biopython__9cced44a/eval.json,artifacts/runs/biopython__9cced44a/predictions_test.csv
pyrosetta_pre,complete,,pyrosetta_pre__f5601ee6,test,426,52077,0.9816063528710833,2.668739738345816,426,426,artifacts/runs/pyrosetta_pre__f5601ee6/training_curve.csv,artifacts/runs/pyrosetta_pre__f5601ee6/training_curve.png,artifacts/runs/pyrosetta_pre__f5601ee6/eval.json,artifacts/runs/pyrosetta_pre__f5601ee6/predictions_test.csv
pyrosetta_pre,complete,,pyrosetta_pre__f5601ee6,train,2636,320058,0.40310030625599186,1.4964569881333818,426,426,artifacts/runs/pyrosetta_pre__f5601ee6/training_curve.csv,artifacts/runs/pyrosetta_pre__f5601ee6/training_curve.png,artifacts/runs/pyrosetta_pre__f5601ee6/eval.json,artifacts/runs/pyrosetta_pre__f5601ee6/predictions_test.csv
pyrosetta_pre,complete,,pyrosetta_pre__f5601ee6,val,132,16050,0.9072339618651666,2.4774602974965547,426,426,artifacts/runs/pyrosetta_pre__f5601ee6/training_curve.csv,artifacts/runs/pyrosetta_pre__f5601ee6/training_curve.png,artifacts/runs/pyrosetta_pre__f5601ee6/eval.json,artifacts/runs/pyrosetta_pre__f5601ee6/predictions_test.csv
esm2,complete,,esm2__e37a6a17,test,426,52077,0.9677158952163364,2.631925993815062,426,426,artifacts/runs/esm2__e37a6a17/training_curve.csv,artifacts/runs/esm2__e37a6a17/training_curve.png,artifacts/runs/esm2__e37a6a17/eval.json,artifacts/runs/esm2__e37a6a17/predictions_test.csv
