iteration,epoch,phase,loss,record_id
1,0,train,3.3275504112243652,pdb_00007lf7_A_B
2,0,train,3.1060054302215576,pdb_00003lh2_K_O
3,0,train,2.9495530128479004,pdb_00007yru_H_L
4,0,train,3.032430648803711,pdb_00001dee_D_C
5,0,train,2.9213671684265137,pdb_00002x7l_A_B
6,0,train,2.8539223670959473,pdb_00008caf_B_A
7,0,train,2.8958051204681396,pdb_00004f3f_B_A
8,0,train,2.7882559299468994,pdb_00004kht_H_L
9,0,train,2.723958969116211,pdb_00004lmq_E_I
10,0,train,2.9141345024108887,pdb_00006s3d_A_B
11,0,train,2.8454551696777344,pdb_00004okv_C_D
12,0,train,2.8685412406921387,pdb_00005cbe_C_D
13,0,train,2.721743106842041,pdb_00009f91_A_B
14,0,train,2.778611421585083,pdb_00005wk3_W_V
15,0,train,2.6822006702423096,pdb_00007rxj_H_L
16,0,train,2.7591469287872314,pdb_00006ba5_F_E
16,0,validation,2.6814441680908203,
17,1,train,2.3685317039489746,pdb_00007lf7_A_B
18,1,train,2.540630578994751,pdb_00003lh2_K_O
19,1,train,2.328775405883789,pdb_00007yru_H_L
20,1,train,2.476763963699341,pdb_00001dee_D_C
21,1,train,2.355693817138672,pdb_00002x7l_A_B
22,1,train,2.2745139598846436,pdb_00008caf_B_A
23,1,train,2.7433218955993652,pdb_00004f3f_B_A
24,1,train,2.4645330905914307,pdb_00004kht_H_L
25,1,train,2.149050712585449,pdb_00004lmq_E_I
26,1,train,2.5815467834472656,pdb_00006s3d_A_B
27,1,train,2.574782609939575,pdb_00004okv_C_D
28,1,train,2.4355196952819824,pdb_00005cbe_C_D
29,1,train,2.4402871131896973,pdb_00009f91_A_B
30,1,train,2.500138521194458,pdb_00005wk3_W_V
31,1,train,2.277928352355957,pdb_00007rxj_H_L
32,1,train,2.444378614425659,pdb_00006ba5_F_E
32,1,validation,2.6652753353118896,
