embedder,split,nll,perplexity,n_examples,n_tokens
one_hot,train,2.564454103494302,12.993563292459985,16,1950
one_hot,test,2.7550832741502402,15.722350113636622,4,483
biopython,train,2.7859520336297843,16.21524799200658,16,1950
biopython,test,2.888837930825433,17.97241227553476,4,483
pyrosetta_pre,train,2.266055478193821,9.64129540969785,16,1950
pyrosetta_pre,test,2.667683700597064,14.406560607862952,4,483
esm2,train,2.7490476549588716,15.627741792660876,16,1950
esm2,test,2.861551711277932,17.48864321773614,4,483
esm3,train,2.7595951191584267,15.793447189398266,16,1950
esm3,test,2.864508897374629,17.540436934394677,4,483
esmif,train,2.644989430476458,14.083296228606713,16,1950
esmif,test,2.7975047844043677,16.403664982471263,4,483
proteinmpnn,train,2.7537258688608803,15.701022990480784,16,1950
proteinmpnn,test,2.8483192841705574,17.258750395610807,4,483
