embedder,score_source,score_column,median,q25,q75,n
one_hot,iglm,iglm_log_likelihood,-3.618007779121399,-3.7262709736824027,-3.469955265522003,10
biopython,iglm,iglm_log_likelihood,-3.8320913314819336,-3.8643957376480103,-3.65491646528244,10
pyrosetta_pre,iglm,iglm_log_likelihood,-3.831278681755066,-3.910899579524993,-3.6157894134521484,10
esm2,iglm,iglm_log_likelihood,-3.7901989221572876,-3.8153045773506165,-3.7457240819931035,10
esm3,iglm,iglm_log_likelihood,-3.6833242177963257,-3.7999410033226013,-3.655107021331787,10
esmif,iglm,iglm_log_likelihood,-3.7285866737365723,-3.803679227828979,-3.584921419620514,10
proteinmpnn,iglm,iglm_log_likelihood,-3.726384401321411,-3.7756630778312683,-3.7063754200935364,10
one_hot,antiberty,antiberty_pseudo_log_likelihood,-3.1844162940979004,-3.4066916704177856,-3.0761911273002625,10
biopython,antiberty,antiberty_pseudo_log_likelihood,-3.334081530570984,-3.7332131862640385,-3.1627999544143677,10
pyrosetta_pre,antiberty,antiberty_pseudo_log_likelihood,-3.601108431816101,-3.873314321041107,-3.4782429337501526,10
esm2,antiberty,antiberty_pseudo_log_likelihood,-3.2924243211746216,-3.38808685541153,-3.018325924873352,10
esm3,antiberty,antiberty_pseudo_log_likelihood,-3.2029236555099487,-3.6129267811775208,-3.1233483552932744,10
esmif,antiberty,antiberty_pseudo_log_likelihood,-3.3698424100875854,-3.54467910528183,-3.19745796918869,10
proteinmpnn,antiberty,antiberty_pseudo_log_likelihood,-3.413534641265869,-3.461195468902588,-3.143910706043244,10
one_hot,ablang2,ablang2_confidence,-0.8861628174781799,-0.9087089598178862,-0.863025039434433,10
biopython,ablang2,ablang2_confidence,-0.9042527973651886,-0.9211924076080321,-0.8855831772089005,10
pyrosetta_pre,ablang2,ablang2_confidence,-0.8858599960803986,-0.9016337543725966,-0.8619919568300247,10
esm2,ablang2,ablang2_confidence,-0.9125078320503234,-0.9293694496154785,-0.8617027401924133,10
esm3,ablang2,ablang2_confidence,-0.882984071969986,-0.9246637821197511,-0.8578037917613983,10
esmif,ablang2,ablang2_confidence,-0.9006030559539795,-0.9189464896917343,-0.8703313022851944,10
proteinmpnn,ablang2,ablang2_confidence,-0.8971615433692932,-0.9213356822729111,-0.8355483561754227,10
