embedder,status,failure_stage,run_id,split,n_examples,n_tokens,nll,perplexity,prediction_rows,successful_predictions,training_curve,training_plot,evaluation,predictions
one_hot,complete,,one_hot__eccb90c8,test,4,483,2.7550832741502402,15.722350113636622,4,4,artifacts/runs/one_hot__eccb90c8/training_curve.csv,artifacts/runs/one_hot__eccb90c8/training_curve.png,artifacts/runs/one_hot__eccb90c8/eval.json,artifacts/runs/one_hot__eccb90c8/predictions_test.csv
one_hot,complete,,one_hot__eccb90c8,train,16,1950,2.564454103494302,12.993563292459985,4,4,artifacts/runs/one_hot__eccb90c8/training_curve.csv,artifacts/runs/one_hot__eccb90c8/training_curve.png,artifacts/runs/one_hot__eccb90c8/eval.json,artifacts/runs/one_hot__eccb90c8/predictions_test.csv
one_hot,complete,,one_hot__eccb90c8,val,4,486,2.6697982211171847,14.437055805891132,4,4,artifacts/runs/one_hot__eccb90c8/training_curve.csv,artifacts/runs/one_hot__eccb90c8/training_curve.png,artifacts/runs/one_hot__eccb90c8/eval.json,artifacts/runs/one_hot__eccb90c8/predictions_test.csv
biopython,complete,,biopython__1d4f48c3,test,4,483,2.888837930825433,17.97241227553476,4,4,artifacts/runs/biopython__1d4f48c3/training_curve.csv,artifacts/runs/biopython__1d4f48c3/training_curve.png,artifacts/runs/biopython__1d4f48c3/eval.json,artifacts/runs/biopython__1d4f48c3/predictions_test.csv
biopython,complete,,biopython__1d4f48c3,train,16,1950,2.7859520336297843,16.21524799200658,4,4,artifacts/runs/biopython__1d4f48c3/training_curve.csv,artifacts/runs/biopython__1d4f48c3/training_curve.png,artifacts/runs/biopython__1d4f48c3/eval.json,artifacts/runs/biopython__1d4f48c3/predictions_test.csv
biopython,complete,,biopython__1d4f48c3,val,4,486,2.7974321891250926,16.402474197053948,4,4,artifacts/runs/biopython__1d4f48c3/training_curve.csv,artifacts/runs/biopython__1d4f48c3/training_curve.png,artifacts/runs/biopython__1d4f48c3/eval.json,artifacts/runs/biopython__1d4f48c3/predictions_test.csv
pyrosetta_pre,complete,,pyrosetta_pre__5b91213f,test,4,483,2.667683700597064,14.406560607862952,4,4,artifacts/runs/pyrosetta_pre__5b91213f/training_curve.csv,artifacts/runs/pyrosetta_pre__5b91213f/training_curve.png,artifacts/runs/pyrosetta_pre__5b91213f/eval.json,artifacts/runs/pyrosetta_pre__5b91213f/predictions_test.csv
pyrosetta_pre,complete,,pyrosetta_pre__5b91213f,train,16,1950,2.266055478193821,9.64129540969785,4,4,artifacts/runs/pyrosetta_pre__5b91213f/training_curve.csv,artifacts/runs/pyrosetta_pre__5b91213f/training_curve.png,artifacts/runs/pyrosetta_pre__5b91213f/eval.json,artifacts/runs/pyrosetta_pre__5b91213f/predictions_test.csv
pyrosetta_pre,complete,,pyrosetta_pre__5b91213f,val,4,486,2.665965659137616,14.381830788960517,4,4,artifacts/runs/pyrosetta_pre__5b91213f/training_curve.csv,artifacts/runs/pyrosetta_pre__5b91213f/training_curve.png,artifacts/runs/pyrosetta_pre__5b91213f/eval.json,artifacts/runs/pyrosetta_pre__5b91213f/predictions_test.csv
esm2,complete,,esm2__df6e9b4b,test,4,483,2.861551711277932,17.48864321773614,4,4,artifacts/runs/esm2__df6e9b4b/training_curve.csv,artifacts/runs/esm2__df6e9b4b/training_curve.png,artifacts/runs/esm2__df6e9b4b/eval.json,artifacts/runs/esm2__df6e9b4b/predictions_test.csv
esm2,complete,,esm2__df6e9b4b,train,16,1950,2.7490476549588716,15.627741792660876,4,4,artifacts/runs/esm2__df6e9b4b/training_curve.csv,artifacts/runs/esm2__df6e9b4b/training_curve.png,artifacts/runs/esm2__df6e9b4b/eval.json,artifacts/runs/esm2__df6e9b4b/predictions_test.csv
esm2,complete,,esm2__df6e9b4b,val,4,486,2.7908940408455494,16.29558220722107,4,4,artifacts/runs/esm2__df6e9b4b/training_curve.csv,artifacts/runs/esm2__df6e9b4b/training_curve.png,artifacts/runs/esm2__df6e9b4b/eval.json,artifacts/runs/esm2__df6e9b4b/predictions_test.csv
esm3,complete,,esm3__a103cdbd,test,4,483,2.864508897374629,17.540436934394677,4,4,artifacts/runs/esm3__a103cdbd/training_curve.csv,artifacts/runs/esm3__a103cdbd/training_curve.png,artifacts/runs/esm3__a103cdbd/eval.json,artifacts/runs/esm3__a103cdbd/predictions_test.csv
esm3,complete,,esm3__a103cdbd,train,16,1950,2.7595951191584267,15.793447189398266,4,4,artifacts/runs/esm3__a103cdbd/training_curve.csv,artifacts/runs/esm3__a103cdbd/training_curve.png,artifacts/runs/esm3__a103cdbd/eval.json,artifacts/runs/esm3__a103cdbd/predictions_test.csv
esm3,complete,,esm3__a103cdbd,val,4,486,2.777400422979284,16.077172728975743,4,4,artifacts/runs/esm3__a103cdbd/training_curve.csv,artifacts/runs/esm3__a103cdbd/training_curve.png,artifacts/runs/esm3__a103cdbd/eval.json,artifacts/runs/esm3__a103cdbd/predictions_test.csv
esmif,complete,,esmif__ca90a264,test,4,483,2.7975047844043677,16.403664982471263,4,4,artifacts/runs/esmif__ca90a264/training_curve.csv,artifacts/runs/esmif__ca90a264/training_curve.png,artifacts/runs/esmif__ca90a264/eval.json,artifacts/runs/esmif__ca90a264/predictions_test.csv
esmif,complete,,esmif__ca90a264,train,16,1950,2.644989430476458,14.083296228606713,4,4,artifacts/runs/esmif__ca90a264/training_curve.csv,artifacts/runs/esmif__ca90a264/training_curve.png,artifacts/runs/esmif__ca90a264/eval.json,artifacts/runs/esmif__ca90a264/predictions_test.csv
esmif,complete,,esmif__ca90a264,val,4,486,2.7200959700125233,15.18177917057932,4,4,artifacts/runs/esmif__ca90a264/training_curve.csv,artifacts/runs/esmif__ca90a264/training_curve.png,artifacts/runs/esmif__ca90a264/eval.json,artifacts/runs/esmif__ca90a264/predictions_test.csv
