embedder,split,nll,perplexity,n_examples,n_tokens
one_hot,train,2.792500320408079,16.32177850153364,3,360
one_hot,test,3.0025672912597656,20.137168594989515,1,121
biopython,train,3.028571452034844,20.667686708768038,3,360
biopython,test,3.116889715194702,22.576052378282654,1,121
pyrosetta_pre,train,2.872165920337041,17.67525997561103,3,360
pyrosetta_pre,test,3.0049805641174316,20.18582376287456,1,121
esm2,train,2.9740818586614397,19.571645461022065,3,360
esm2,test,3.201434373855591,24.567744266067972,1,121
esm3,train,2.947098511457443,19.050598367701447,3,360
esm3,test,3.0179038047790527,20.448382924773593,1,121
esmif,train,2.975574548376931,19.600881669782552,3,360
esmif,test,3.04067063331604,20.919267689793788,1,121
proteinmpnn,train,3.0392931448088754,20.890471476752392,3,360
proteinmpnn,test,3.1134986877441406,22.499626020117795,1,121
