embedder,score_source,score_column,median,q25,q75,n
one_hot,iglm,iglm_log_likelihood,-3.963119149208069,-3.9985929131507874,-3.9276453852653503,2
biopython,iglm,iglm_log_likelihood,-3.841436982154846,-3.8570472598075867,-3.8258267045021053,2
pyrosetta_pre,iglm,iglm_log_likelihood,-3.869077682495117,-3.8935492038726807,-3.8446061611175537,2
esm2,iglm,iglm_log_likelihood,-3.5813781023025513,-3.6081472039222717,-3.554609000682831,2
esm3,iglm,iglm_log_likelihood,-3.7858033180236816,-3.7989286184310913,-3.772678017616272,2
esmif,iglm,iglm_log_likelihood,-3.909389019012451,-3.9726834297180176,-3.8460946083068848,2
proteinmpnn,iglm,iglm_log_likelihood,-3.7436816692352295,-3.7496795654296875,-3.7376837730407715,2
one_hot,antiberty,antiberty_pseudo_log_likelihood,-3.5380988121032715,-3.718713164329529,-3.357484459877014,2
biopython,antiberty,antiberty_pseudo_log_likelihood,-3.187460422515869,-3.223232865333557,-3.151687979698181,2
pyrosetta_pre,antiberty,antiberty_pseudo_log_likelihood,-3.184696674346924,-3.295656681060791,-3.073736667633056,2
esm2,antiberty,antiberty_pseudo_log_likelihood,-4.084881544113159,-4.442038893699646,-3.727724194526672,2
esm3,antiberty,antiberty_pseudo_log_likelihood,-3.763876438140869,-4.062114000320435,-3.4656388759613037,2
esmif,antiberty,antiberty_pseudo_log_likelihood,-3.545782685279846,-3.70368891954422,-3.387876451015472,2
proteinmpnn,antiberty,antiberty_pseudo_log_likelihood,-3.6962478160858154,-3.9857362508773804,-3.40675938129425,2
one_hot,ablang2,ablang2_confidence,-0.7420625984668732,-0.7576215416193008,-0.7265036553144455,2
biopython,ablang2,ablang2_confidence,-0.7763469517230988,-0.7779686599969864,-0.7747252434492111,2
pyrosetta_pre,ablang2,ablang2_confidence,-0.7981814444065094,-0.7997805625200272,-0.7965823262929916,2
esm2,ablang2,ablang2_confidence,-0.6283777952194214,-0.687223345041275,-0.5695322453975677,2
esm3,ablang2,ablang2_confidence,-0.7466216087341309,-0.7540299296379089,-0.7392132878303528,2
esmif,ablang2,ablang2_confidence,-0.7882069647312164,-0.7901535183191299,-0.7862604111433029,2
proteinmpnn,ablang2,ablang2_confidence,-0.7782196700572968,-0.7829486578702927,-0.7734906822443008,2
