embedder,status,failure_stage,run_id,split,n_examples,n_tokens,nll,perplexity,prediction_rows,successful_predictions,training_curve,training_plot,evaluation,predictions
one_hot,complete,,one_hot__27bc5067,test,1,121,3.0025672912597656,20.137168594989515,1,1,artifacts/runs/one_hot__27bc5067/training_curve.csv,artifacts/runs/one_hot__27bc5067/training_curve.png,artifacts/runs/one_hot__27bc5067/eval.json,artifacts/runs/one_hot__27bc5067/predictions_test.csv
one_hot,complete,,one_hot__27bc5067,train,3,360,2.792500320408079,16.32177850153364,1,1,artifacts/runs/one_hot__27bc5067/training_curve.csv,artifacts/runs/one_hot__27bc5067/training_curve.png,artifacts/runs/one_hot__27bc5067/eval.json,artifacts/runs/one_hot__27bc5067/predictions_test.csv
one_hot,complete,,one_hot__27bc5067,val,1,122,2.9505410194396973,19.116293217292668,1,1,artifacts/runs/one_hot__27bc5067/training_curve.csv,artifacts/runs/one_hot__27bc5067/training_curve.png,artifacts/runs/one_hot__27bc5067/eval.json,artifacts/runs/one_hot__27bc5067/predictions_test.csv
biopython,complete,,biopython__6c1b9439,test,1,121,3.116889715194702,22.576052378282654,1,1,artifacts/runs/biopython__6c1b9439/training_curve.csv,artifacts/runs/biopython__6c1b9439/training_curve.png,artifacts/runs/biopython__6c1b9439/eval.json,artifacts/runs/biopython__6c1b9439/predictions_test.csv
biopython,complete,,biopython__6c1b9439,train,3,360,3.028571452034844,20.667686708768038,1,1,artifacts/runs/biopython__6c1b9439/training_curve.csv,artifacts/runs/biopython__6c1b9439/training_curve.png,artifacts/runs/biopython__6c1b9439/eval.json,artifacts/runs/biopython__6c1b9439/predictions_test.csv
biopython,complete,,biopython__6c1b9439,val,1,122,3.1194393634796143,22.633686814057146,1,1,artifacts/runs/biopython__6c1b9439/training_curve.csv,artifacts/runs/biopython__6c1b9439/training_curve.png,artifacts/runs/biopython__6c1b9439/eval.json,artifacts/runs/biopython__6c1b9439/predictions_test.csv
pyrosetta_pre,complete,,pyrosetta_pre__16206b0a,test,1,121,3.0049805641174316,20.18582376287456,1,1,artifacts/runs/pyrosetta_pre__16206b0a/training_curve.csv,artifacts/runs/pyrosetta_pre__16206b0a/training_curve.png,artifacts/runs/pyrosetta_pre__16206b0a/eval.json,artifacts/runs/pyrosetta_pre__16206b0a/predictions_test.csv
pyrosetta_pre,complete,,pyrosetta_pre__16206b0a,train,3,360,2.872165920337041,17.67525997561103,1,1,artifacts/runs/pyrosetta_pre__16206b0a/training_curve.csv,artifacts/runs/pyrosetta_pre__16206b0a/training_curve.png,artifacts/runs/pyrosetta_pre__16206b0a/eval.json,artifacts/runs/pyrosetta_pre__16206b0a/predictions_test.csv
pyrosetta_pre,complete,,pyrosetta_pre__16206b0a,val,1,122,2.9390578269958496,18.89803270557638,1,1,artifacts/runs/pyrosetta_pre__16206b0a/training_curve.csv,artifacts/runs/pyrosetta_pre__16206b0a/training_curve.png,artifacts/runs/pyrosetta_pre__16206b0a/eval.json,artifacts/runs/pyrosetta_pre__16206b0a/predictions_test.csv
esm2,complete,,esm2__83a2d8f5,test,1,121,3.201434373855591,24.567744266067972,1,1,artifacts/runs/esm2__83a2d8f5/training_curve.csv,artifacts/runs/esm2__83a2d8f5/training_curve.png,artifacts/runs/esm2__83a2d8f5/eval.json,artifacts/runs/esm2__83a2d8f5/predictions_test.csv
esm2,complete,,esm2__83a2d8f5,train,3,360,2.9740818586614397,19.571645461022065,1,1,artifacts/runs/esm2__83a2d8f5/training_curve.csv,artifacts/runs/esm2__83a2d8f5/training_curve.png,artifacts/runs/esm2__83a2d8f5/eval.json,artifacts/runs/esm2__83a2d8f5/predictions_test.csv
esm2,complete,,esm2__83a2d8f5,val,1,122,3.111856698989868,22.462712201548605,1,1,artifacts/runs/esm2__83a2d8f5/training_curve.csv,artifacts/runs/esm2__83a2d8f5/training_curve.png,artifacts/runs/esm2__83a2d8f5/eval.json,artifacts/runs/esm2__83a2d8f5/predictions_test.csv
esm3,complete,,esm3__2f193b39,test,1,121,3.0179038047790527,20.448382924773593,1,1,artifacts/runs/esm3__2f193b39/training_curve.csv,artifacts/runs/esm3__2f193b39/training_curve.png,artifacts/runs/esm3__2f193b39/eval.json,artifacts/runs/esm3__2f193b39/predictions_test.csv
esm3,complete,,esm3__2f193b39,train,3,360,2.947098511457443,19.050598367701447,1,1,artifacts/runs/esm3__2f193b39/training_curve.csv,artifacts/runs/esm3__2f193b39/training_curve.png,artifacts/runs/esm3__2f193b39/eval.json,artifacts/runs/esm3__2f193b39/predictions_test.csv
esm3,complete,,esm3__2f193b39,val,1,122,2.9987266063690186,20.05997640614857,1,1,artifacts/runs/esm3__2f193b39/training_curve.csv,artifacts/runs/esm3__2f193b39/training_curve.png,artifacts/runs/esm3__2f193b39/eval.json,artifacts/runs/esm3__2f193b39/predictions_test.csv
