iteration,epoch,phase,loss,record_id
1,0,train,3.295665979385376,pdb_00005hbv_D_C
2,0,train,3.0428237915039062,pdb_00009ldw_S1_S2
3,0,train,2.969310998916626,pdb_00003eoa_B_A
4,0,train,3.0558457374572754,pdb_00009mq9_J_N
5,0,train,2.810335636138916,pdb_00008smt_A_B
6,0,train,2.9177231788635254,pdb_00002ybr_G_H
7,0,train,2.831007480621338,pdb_00007yk6_S1_S2
8,0,train,2.846238374710083,pdb_00004dn4_H_L
9,0,train,2.830404758453369,pdb_00008z2e_H_L
10,0,train,2.985431671142578,pdb_00007vgs_D_C
11,0,train,2.9615581035614014,pdb_00007t82_H_L
12,0,train,2.8793578147888184,pdb_00009ctw_F_E
13,0,train,2.7990591526031494,pdb_00006gku_H_L
14,0,train,2.825129985809326,pdb_00006ywc_D_E
15,0,train,2.8791160583496094,pdb_00009e3l_K_L
16,0,train,2.8099617958068848,pdb_00009c6y_A_B
17,0,train,2.796104669570923,pdb_00008ijb_S1_S2
18,0,train,2.839459180831909,pdb_00006xpz_E_F
19,0,train,2.8175241947174072,pdb_00006cyf_F_E
20,0,train,2.8197901248931885,pdb_00006dkj_H_L
21,0,train,2.7654869556427,pdb_00008zh7_H_I
22,0,train,2.7607004642486572,pdb_00009ue8_Q_R
23,0,train,2.788288116455078,pdb_00007jum_H1_H2
24,0,train,2.811263084411621,pdb_00008hn7_D_C
25,0,train,2.779165267944336,pdb_00008dwx_X_W
26,0,train,2.7209606170654297,pdb_00008vgh_F_E
27,0,train,2.7625670433044434,pdb_000011oq_H_L
28,0,train,2.7981104850769043,pdb_00007lop_H_L
29,0,train,2.5750722885131836,pdb_00007vfx_S1_S2
30,0,train,2.5035319328308105,pdb_00008iy5_E1_E2
31,0,train,3.164808988571167,pdb_00004ma8_H_L
32,0,train,2.707954168319702,pdb_00007ubs_I1_I2
33,0,train,2.763989210128784,pdb_00006w41_H_L
34,0,train,2.6195907592773438,pdb_00009u5p_B_C
