iteration,epoch,phase,loss,record_id
1,0,train,3.3043322563171387,pdb_00007lf7_A_B
2,0,train,3.166646718978882,pdb_00003lh2_K_O
3,0,train,3.1786699295043945,pdb_00007yru_H_L
4,0,train,3.1214427947998047,pdb_00001dee_D_C
5,0,train,2.9115407466888428,pdb_00002x7l_A_B
6,0,train,2.899811267852783,pdb_00008caf_B_A
7,0,train,2.883685827255249,pdb_00004f3f_B_A
8,0,train,2.865140438079834,pdb_00004kht_H_L
9,0,train,2.893460750579834,pdb_00004lmq_E_I
10,0,train,3.0195066928863525,pdb_00006s3d_A_B
11,0,train,2.909731864929199,pdb_00004okv_C_D
12,0,train,2.816720485687256,pdb_00005cbe_C_D
13,0,train,2.8836796283721924,pdb_00009f91_A_B
14,0,train,2.8802602291107178,pdb_00005wk3_W_V
15,0,train,2.8745741844177246,pdb_00007rxj_H_L
16,0,train,2.8930535316467285,pdb_00006ba5_F_E
16,0,validation,2.841205060482025,
17,1,train,2.8181416988372803,pdb_00007lf7_A_B
18,1,train,2.803785562515259,pdb_00003lh2_K_O
19,1,train,2.817284345626831,pdb_00007yru_H_L
20,1,train,2.8748297691345215,pdb_00001dee_D_C
21,1,train,2.7659573554992676,pdb_00002x7l_A_B
22,1,train,2.778167963027954,pdb_00008caf_B_A
23,1,train,2.852979898452759,pdb_00004f3f_B_A
24,1,train,2.8532979488372803,pdb_00004kht_H_L
25,1,train,2.776416063308716,pdb_00004lmq_E_I
26,1,train,2.8993258476257324,pdb_00006s3d_A_B
27,1,train,2.870847225189209,pdb_00004okv_C_D
28,1,train,2.77461576461792,pdb_00005cbe_C_D
29,1,train,2.8043150901794434,pdb_00009f91_A_B
30,1,train,2.812161922454834,pdb_00005wk3_W_V
31,1,train,2.794649600982666,pdb_00007rxj_H_L
32,1,train,2.83188796043396,pdb_00006ba5_F_E
32,1,validation,2.786034882068634,
