iteration,epoch,phase,loss,record_id
1,0,train,3.239253282546997,pdb_00007lf7_A_B
2,0,train,3.083071231842041,pdb_00003lh2_K_O
3,0,train,3.0024373531341553,pdb_00007yru_H_L
4,0,train,2.980259418487549,pdb_00001dee_D_C
5,0,train,2.9127256870269775,pdb_00002x7l_A_B
6,0,train,2.8600034713745117,pdb_00008caf_B_A
7,0,train,2.8865926265716553,pdb_00004f3f_B_A
8,0,train,2.880164861679077,pdb_00004kht_H_L
9,0,train,2.7892847061157227,pdb_00004lmq_E_I
10,0,train,2.94216251373291,pdb_00006s3d_A_B
11,0,train,2.8886258602142334,pdb_00004okv_C_D
12,0,train,2.838904619216919,pdb_00005cbe_C_D
13,0,train,2.8747639656066895,pdb_00009f91_A_B
14,0,train,2.8320600986480713,pdb_00005wk3_W_V
15,0,train,2.852614641189575,pdb_00007rxj_H_L
16,0,train,2.897739887237549,pdb_00006ba5_F_E
16,0,validation,2.841068923473358,
17,1,train,2.7511966228485107,pdb_00007lf7_A_B
18,1,train,2.9439570903778076,pdb_00003lh2_K_O
19,1,train,2.777191162109375,pdb_00007yru_H_L
20,1,train,2.850639820098877,pdb_00001dee_D_C
21,1,train,2.7398314476013184,pdb_00002x7l_A_B
22,1,train,2.8115859031677246,pdb_00008caf_B_A
23,1,train,2.930912733078003,pdb_00004f3f_B_A
24,1,train,2.816641330718994,pdb_00004kht_H_L
25,1,train,2.693164110183716,pdb_00004lmq_E_I
26,1,train,2.834947109222412,pdb_00006s3d_A_B
27,1,train,2.825174331665039,pdb_00004okv_C_D
28,1,train,2.712555408477783,pdb_00005cbe_C_D
29,1,train,2.7509829998016357,pdb_00009f91_A_B
30,1,train,2.7696421146392822,pdb_00005wk3_W_V
31,1,train,2.7014732360839844,pdb_00007rxj_H_L
32,1,train,2.707369327545166,pdb_00006ba5_F_E
32,1,validation,2.719962239265442,
