iteration,epoch,phase,loss,record_id
1,0,train,3.3654258251190186,pdb_00007lf7_A_B
2,0,train,3.1291937828063965,pdb_00003lh2_K_O
3,0,train,2.7729122638702393,pdb_00007yru_H_L
4,0,train,2.945150375366211,pdb_00001dee_D_C
5,0,train,2.817168951034546,pdb_00002x7l_A_B
6,0,train,2.7618494033813477,pdb_00008caf_B_A
7,0,train,2.9030165672302246,pdb_00004f3f_B_A
8,0,train,2.920830011367798,pdb_00004kht_H_L
9,0,train,2.869050979614258,pdb_00004lmq_E_I
10,0,train,2.883056879043579,pdb_00006s3d_A_B
11,0,train,2.9047067165374756,pdb_00004okv_C_D
12,0,train,2.900634527206421,pdb_00005cbe_C_D
13,0,train,3.014380931854248,pdb_00009f91_A_B
14,0,train,2.9334304332733154,pdb_00005wk3_W_V
15,0,train,2.819631576538086,pdb_00007rxj_H_L
16,0,train,2.778247117996216,pdb_00006ba5_F_E
16,0,validation,2.7303345799446106,
17,1,train,2.771454334259033,pdb_00007lf7_A_B
18,1,train,2.7434871196746826,pdb_00003lh2_K_O
19,1,train,2.4799981117248535,pdb_00007yru_H_L
20,1,train,2.665855884552002,pdb_00001dee_D_C
21,1,train,2.5824544429779053,pdb_00002x7l_A_B
22,1,train,2.481158494949341,pdb_00008caf_B_A
23,1,train,2.76987624168396,pdb_00004f3f_B_A
24,1,train,2.6688802242279053,pdb_00004kht_H_L
25,1,train,2.3739876747131348,pdb_00004lmq_E_I
26,1,train,4.286085605621338,pdb_00006s3d_A_B
27,1,train,2.9863390922546387,pdb_00004okv_C_D
28,1,train,2.558847427368164,pdb_00005cbe_C_D
29,1,train,2.7273855209350586,pdb_00009f91_A_B
30,1,train,2.764988899230957,pdb_00005wk3_W_V
31,1,train,2.6409246921539307,pdb_00007rxj_H_L
32,1,train,2.6427509784698486,pdb_00006ba5_F_E
32,1,validation,2.6696901321411133,
