iteration,epoch,phase,loss,record_id
1,0,train,3.358691692352295,pdb_00007lf7_A_B
2,0,train,3.2327420711517334,pdb_00003lh2_K_O
3,0,train,3.0343213081359863,pdb_00007yru_H_L
4,0,train,3.063507080078125,pdb_00001dee_D_C
5,0,train,2.926067590713501,pdb_00002x7l_A_B
6,0,train,2.9069619178771973,pdb_00008caf_B_A
7,0,train,2.8946664333343506,pdb_00004f3f_B_A
8,0,train,2.8756141662597656,pdb_00004kht_H_L
9,0,train,2.853167772293091,pdb_00004lmq_E_I
10,0,train,3.011378526687622,pdb_00006s3d_A_B
11,0,train,2.901893377304077,pdb_00004okv_C_D
12,0,train,2.8224401473999023,pdb_00005cbe_C_D
13,0,train,2.8827998638153076,pdb_00009f91_A_B
14,0,train,2.8867690563201904,pdb_00005wk3_W_V
15,0,train,2.881232261657715,pdb_00007rxj_H_L
16,0,train,2.8657591342926025,pdb_00006ba5_F_E
16,0,validation,2.842898666858673,
17,1,train,2.831761598587036,pdb_00007lf7_A_B
18,1,train,2.8139359951019287,pdb_00003lh2_K_O
19,1,train,2.8203704357147217,pdb_00007yru_H_L
20,1,train,2.8643596172332764,pdb_00001dee_D_C
21,1,train,2.7833614349365234,pdb_00002x7l_A_B
22,1,train,2.794640302658081,pdb_00008caf_B_A
23,1,train,2.853661298751831,pdb_00004f3f_B_A
24,1,train,2.8443422317504883,pdb_00004kht_H_L
25,1,train,2.768284797668457,pdb_00004lmq_E_I
26,1,train,2.918532371520996,pdb_00006s3d_A_B
27,1,train,2.8696389198303223,pdb_00004okv_C_D
28,1,train,2.7843499183654785,pdb_00005cbe_C_D
29,1,train,2.8097434043884277,pdb_00009f91_A_B
30,1,train,2.8251442909240723,pdb_00005wk3_W_V
31,1,train,2.809868335723877,pdb_00007rxj_H_L
32,1,train,2.801539421081543,pdb_00006ba5_F_E
32,1,validation,2.7780038118362427,
